지점,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),안개 계속시간(hr)
90,2017-01-01,6,0,1.7,50,0,0,0,0,0
90,2017-01-02,8.2,0,2.5,50.3,0,0,0,0,0
90,2017-01-03,6.2,0,2,35.5,0,0,0,0,0
90,2017-01-04,5.6,0,2.2,46.4,0,0,0,0,0
90,2017-01-05,2.8,15.5,1.5,88.1,0,0,0,0,0
90,2017-01-06,4.5,0,1.3,80.9,0,0,0,0,0
90,2017-01-07,6.5,0.5,1.5,65.5,0,0,0,0,0
90,2017-01-08,5,13.5,2,91.5,0,0,0,0,0
90,2017-01-09,5.7,0,1.6,49.4,0,0,0,0,0
90,2017-01-10,0.4,0,2.4,27.4,0,0,0,0,0
90,2017-01-11,-1.2,0,2.4,24.1,0,0,0,0,0
90,2017-01-12,0.8,0,4.1,28.9,0,0,0,0,0
90,2017-01-13,-2.7,0,3.2,30,0,0,0,0,0
90,2017-01-14,-6.2,0,2.9,25.6,0,0,0,0,0
90,2017-01-15,-2.1,0,1.6,25.4,0,0,0,0,0
90,2017-01-16,-0.5,0,1.9,46.8,0,0,0,0,0
90,2017-01-17,1.5,0,1.4,37.3,0,0,0,0,0
90,2017-01-18,1.9,0,1.9,44.6,0,0,0,0,0
90,2017-01-19,1.3,0,1.2,56.4,0,0,0,0,0
90,2017-01-20,-2,29.3,1.9,83,0,0,0,0,0
90,2017-01-21,-3.6,0,1.7,66.6,0,0,0,0,0
90,2017-01-22,-5.3,0,1.7,46.6,0,0,0,0,0
90,2017-01-23,-6.1,0,1.6,41.9,0,0,0,0,0
90,2017-01-24,-4.2,0,1.4,37.8,0,0,0,0,0
90,2017-01-25,-2.1,0,1.3,35.8,0,0,0,0,0
90,2017-01-26,2.2,0,2,40.4,0,0,0,0,0
90,2017-01-27,2.3,0,2.7,35.4,0,0,0,0,0
90,2017-01-28,1.9,0,1.3,41,0,0,0,0,0
90,2017-01-29,3,6.8,1.2,73.3,0,0,0,0,0
90,2017-01-30,-1.3,16.8,1.9,81.3,0,0,0,0,0
90,2017-01-31,-2.6,0,1.1,56,0,0,0,0,0
90,2017-02-01,0,0,1.8,35.1,0,0,0,0,0
90,2017-02-02,2.3,0,3.2,26.9,0,0,0,0,0
90,2017-02-03,4.1,0,1.3,38.8,0,0,0,0,0
90,2017-02-04,6,0,1.1,37.4,0,0,0,0,0
90,2017-02-05,4.9,0,1.8,57.5,0,0,0,0,0
90,2017-02-06,1.6,0,1.6,45.5,0,0,0,0,0
90,2017-02-07,1.5,0,1.4,43.3,0,0,0,0,0
90,2017-02-08,2.6,0,1.6,50,0,0,0,0,0
90,2017-02-09,-1.5,0,2.2,40.6,0,0,0,0,0
90,2017-02-10,-4.3,0,2,37.8,0,0,0,0,0
90,2017-02-11,-2.2,0,2.2,35.3,0,0,0,0,0
90,2017-02-12,0.6,0,1.7,41.3,0,0,0,0,0
90,2017-02-13,2.4,0,2,33.5,0,0,0,0,0
90,2017-02-14,2.3,0,1.7,50.9,0,0,0,0,0
90,2017-02-15,6.5,0,1.5,36.9,0,0,0,0,0
90,2017-02-16,11.2,0,3.1,34.8,0,0,0,0,0
90,2017-02-17,6.4,0,3.4,58.9,0,0,0,0,0
90,2017-02-18,1.5,0,2.6,31.5,0,0,0,0,0
90,2017-02-19,4.5,0,1.8,47.3,0,0,0,0,0
90,2017-02-20,2.9,0,3.6,53.1,0,0,0,0,0
90,2017-02-21,1.1,0,1.8,51.8,0,0,0,0,0
90,2017-02-22,3.5,3.2,1.3,75.9,0,0,0,0,0
90,2017-02-23,2.5,0,2.2,51.6,0,0,0,0,0
90,2017-02-24,1.7,0,2.1,36.8,0,0,0,0,0
90,2017-02-25,4.9,0,2.1,37.4,0,0,0,0,0
90,2017-02-26,3.9,0,1.7,49.6,0,0,0,0,0
90,2017-02-27,5.1,0,2,58.1,0,0,0,0,0
90,2017-02-28,8.7,0,1.3,39.1,0,0,0,0,0
90,2017-03-01,8,0.2,1.3,60.8,0,0,0,0,0
90,2017-03-02,3.2,7.9,1.6,84.6,0,0,0,0,0
90,2017-03-03,7.2,0,2,38.6,0,0,0,0,0
90,2017-03-04,6.5,0,1.6,60.9,0,0,0,0,0
90,2017-03-05,6,1.7,1.2,78.4,0,0,0,0,0
90,2017-03-06,2.1,6.5,3.2,59.6,0,0,0,0,0
90,2017-03-07,1.1,0,2.8,29.6,0,0,0,0,0
90,2017-03-08,2.2,0,2.3,38.6,0,0,0,0,0
90,2017-03-09,5.6,0,3,36.3,0,0,0,0,0
90,2017-03-10,6.1,0,2,38.4,0,0,0,0,0
90,2017-03-11,8.6,0,2,40.6,0,0,0,0,0
90,2017-03-12,11.6,0,1.5,39.4,0,0,0,0,0
90,2017-03-13,6.4,0,2.3,51.1,0,0,0,0,0
90,2017-03-14,3.2,8.3,1.9,75.5,0,0,0,0,0
90,2017-03-15,5,0,1.9,55.3,0,0,0,0,0
90,2017-03-16,6.2,0,1.5,65.4,0,0,0,0,0
90,2017-03-17,8,0,1.4,47.9,0,0,0,0,0
90,2017-03-18,12.5,0,1.4,34.9,0,0,0,0,0
90,2017-03-19,10.2,0,1.6,49,0,0,0,0,0
90,2017-03-20,11.3,0,1.2,49.5,0,0,0,0,0
90,2017-03-21,6.4,4.8,2.1,67.4,0,0,0,0,0
90,2017-03-22,8.2,0,1.5,47.9,0,0,0,0,0
90,2017-03-23,6.9,0.9,1.7,63.6,0,0,0,0,0
90,2017-03-24,6.5,0,1.5,69.6,0,0,0,0,0
90,2017-03-25,6.2,4.7,1.8,81.8,0,0,0,0,0
90,2017-03-26,7,0.6,1.1,77.9,0,0,0,0,0
90,2017-03-27,6.7,1.3,1.9,70.1,0,0,0,0,0
90,2017-03-28,9,0,1.6,51,0,0,0,0,0
90,2017-03-29,11.1,0,2,44.6,0,0,0,0,0
90,2017-03-30,12.5,0,2.8,52,0,0,0,0,0
90,2017-03-31,6.7,11.8,1.8,90,0,0,0,0,0
90,2017-04-01,5.9,11.2,1.5,88,0,0,0,0,0
90,2017-04-02,10,0.1,2.3,56.9,0,0,0,0,0
90,2017-04-03,17.3,0,3.1,30.1,0,0,0,0,0
90,2017-04-04,15.9,0,2.1,46.3,0,0,0,0,0
90,2017-04-05,13.8,4.5,1.4,60.6,0,0,0,0,0
90,2017-04-06,14.1,1.2,1.4,77.9,0,0,0,0,0
90,2017-04-07,13.6,0,1.7,78.1,0,0,0,0,0
90,2017-04-08,14.7,0,1.2,82,0,0,0,0,0
90,2017-04-09,11.4,5.6,2.1,65.6,0,0,0,0,0
90,2017-04-10,10.9,0,3.4,60.3,0,0,0,0,0
90,2017-04-11,10.9,0,1.9,79.8,0,0,0,0,0
90,2017-04-12,12.5,0.2,2.3,45.6,0,0,0,0,0
90,2017-04-13,14.7,0,2.3,34.1,0,0,0,0,0
90,2017-04-14,16.9,0,2.3,39.8,0,0,0,0,0
90,2017-04-15,20.8,0,3,40.8,0,0,0,0,0
90,2017-04-16,22.4,0,2.4,37.4,0,0,0,0,0
90,2017-04-17,13.2,17.1,2.8,78.5,0,0,0,0,0
90,2017-04-18,12.2,6.4,2.4,76.1,0,0,0,0,0
90,2017-04-19,13.4,0,3.2,53.5,0,0,0,0,0
90,2017-04-20,15.6,0,1.6,48.3,0,0,0,0,0
90,2017-04-21,13.1,0.4,2.5,66,0,0,0,0,0
90,2017-04-22,12.7,0,2.1,70.9,0,0,0,0,0
90,2017-04-23,17.4,0,2.3,38,0,0,0,0,0
90,2017-04-24,16.7,0,2,47,0,0,0,0,0
90,2017-04-25,15.9,0,1.7,61.5,0,0,0,0,0
90,2017-04-26,14.2,0,1.9,53.8,0,0,0,0,0
90,2017-04-27,14.1,0,2.3,39.9,0,0,0,0,0
90,2017-04-28,17.6,0,3.5,37.3,0,0,0,0,0
90,2017-04-29,19.2,0.1,2.4,41.5,0,0,0,0,0
90,2017-04-30,21.6,0,3.1,44.5,0,0,0,0,0
90,2017-05-01,14.6,0,1.9,62.1,0,0,0,0,0
90,2017-05-02,14,0,2.1,75.3,0,0,0,0,0
90,2017-05-03,15.4,0,1.5,76.9,0,0,0,0,0
90,2017-05-04,17.6,0,1.5,68.1,0,0,0,0,0
90,2017-05-05,21.4,0,2.1,51.4,0,0,0,0,0
90,2017-05-06,17.7,0,3.2,23.9,0,0,0,0,0
90,2017-05-07,20.1,0,3,20.6,0,0,0,0,0
90,2017-05-08,21.9,0,4,36.4,0,0,0,0,0
90,2017-05-09,13.6,3.6,2,88.5,0,0,0,0,0
90,2017-05-10,14.4,0.2,1.6,86.4,0,0,0,0,0
90,2017-05-11,22.3,0,1.9,48.8,0,0,0,0,0
90,2017-05-12,21.8,0,1.8,56.8,0,0,0,0,0
90,2017-05-13,15.4,9.8,3.1,78.8,0,0,0,0,0
90,2017-05-14,18.5,0,3.8,38.4,0,0,0,0,0
90,2017-05-15,16.9,0,2.4,60.6,0,0,0,0,0
90,2017-05-16,14.8,0,1.4,87.1,0,0,0,0,0
90,2017-05-17,15.9,0,1.5,82.6,0,0,0,0,0
90,2017-05-18,23.5,0,1.9,46.8,0,0,0,0,0
90,2017-05-19,27,0,2.1,29.6,0,0,0,0,0
90,2017-05-20,22.3,0,1.2,56.1,0,0,0,0,0
90,2017-05-21,20.1,0,1.5,76.1,0,0,0,0,0
90,2017-05-22,16.5,0,2.3,81,0,0,0,0,0
90,2017-05-23,17.2,9.1,1.3,84.9,0,0,0,0,0
90,2017-05-24,17.6,1.7,1.6,89.5,0,0,0,0,0
90,2017-05-25,17.9,0,2.9,62.5,0,0,0,0,0
90,2017-05-26,14.1,0.8,1.8,72.3,0,0,0,0,0
90,2017-05-27,16.5,0,1.4,71.8,0,0,0,0,0
90,2017-05-28,19.8,0,1.3,65.4,0,0,0,0,0
90,2017-05-29,23.2,0,1.5,61.6,0,0,0,0,0
90,2017-05-30,24,0,1.4,48.9,0,0,0,0,0
